Nature du Format;nom_destination;indicatif;Valeur niveau Fraude
4;SOUTH AFRICA PRS;2746001;C
4;MEXICO ZONE2;52732;A
4;POLAND GSM ERA;487286;A
4;PORTUGAL GSM VODAFONE;3519202;A
4;IRIDIUM;8817;H
4;DOMINICAN REP LOCAL OTHER;180937943;A
4;UK GSM ORANGE;447772;A
4;BRAZIL GSM;551195076;A
4;CHILE TELCOY;5667226;A
4;SWEDEN GSM HI3G;467230;A
4;DOMINICAN REP LOCAL OTHER;18094726;A
4;INDIA GSM BSNL;919195;A
4;USA;1660;A
4;POLAND OLO;4856642;A
4;INDIA GSM;9184648;A
4;ALBANIA AMC;35526723;B
4;RUSSIA PRS;7954;G
4;MEXICO ZONE3;52355;A
4;THAILAND GSM DTAC;6690638;A
4;BOTSWANA GSM ORANGE;267774;B
4;DOMINICAN REP LOCAL OTHER;180937888;A
4;DOMINICAN REP LOCAL OTHER;18096830;A
4;POLAND OLO;48172268;A
4;PORTUGAL GSM NOS;35116169;A
4;INDIA GSM;9178249;A
4;POLAND GSM PLUS;485791;A
4;USA;1303;A
4;POLAND OLO;4832730;A
4;ANGUILLA GSM;1264583;F
4;DOMINICAN REP LOCAL OTHER;180992083;A
4;ALBANIA AMC;35526650;B
4;ESTONIA;372;D
4;INDIA GSM;917386;A
4;INDIA GSM;9185990;A
4;CZECH REP GSM T-MOB;420603;A
4;UK GSM O2;447381;A
4;DOMINICAN REP LOCAL OTHER;180928951;A
4;MEXICO GSM ZONE2;521627;A
4;DOMINICAN REP LOCAL OTHER;180992097;A
4;DOMINICAN REP GSM ORANGE;1829586;A
4;INDIA GSM;9177299;A
4;COLOMBIA CITIES;571906;A
4;INDIA GSM;9177730;A
4;POLAND OLO;4861880;A
4;DOMINICAN REP LOCAL OTHER;180974054;A
4;THAILAND GSM DTAC;66881;A
4;INDIA GSM;9181930;A
4;MEXICO ZONE2;52779;A
4;POLAND GSM PM4;4857956;A
4;POLAND GSM ORANGE;485712;A
4;INDIA GSM;9185588;A
4;POLAND GSM ORANGE;48516;A
4;MOROCCO GSM WANA FULL MOBILITY;212681;E
4;LATVIA OLO;3716401;E
4;POLAND OLO;4832632;A
4;DOMINICAN REP GSM;1849457;A
4;DOMINICAN REP GSM ORANGE;1809608;A
4;POLAND OLO;48177222;A
4;KYRGYZSTAN GSM;9965;B
4;SENEGAL EXPRESSO;22130;D
4;INDIA GSM;9183808;A
4;THAILAND GSM DTAC;6688864;A
4;DOMINICAN REP GSM;1829549;A
4;INDIA GSM;9184799;A
4;THAILAND GSM;6661;A
4;LITHUANIA PRS;37066907;G
4;DOMINICAN REP LOCAL OTHER;180969558;A
4;MEXICO ZONE3;52745;A
4;DOMINICAN REP LOCAL OTHER;18095182;A
4;ALBANIA AMC;3558290;B
4;INDIA GSM;9178558;A
4;DOMINICAN REP LOCAL OTHER;180975541;A
4;RUSSIA MOSCOW;7499;A
4;SOUTH AFRICA PRS;27510300;C
4;DOMINICAN REP GSM;1809225;A
4;POLAND OLO;4889555;A
4;THAILAND GSM DTAC;6688821;A
4;POLAND OLO;4832438;A
4;MEXICO ZONE2;52272;A
4;BRAZIL GSM;55238;A
4;POLAND GSM PM4;488831;A
4;SOUTH AFRICA PRS;27125550;C
4;DOMINICAN REP GSM;1809251;A
4;POLAND OLO;4822301;A
4;INDIA GSM;9178559;A
4;BRAZIL GSM;553292;A
4;UK GSM VODAFONE;447386;A
4;USA;1959;A
4;LEBANON GSM;961765;B
4;POLAND OLO;48134253;A
4;AUSTRALIA CITIES;6138;A
4;BELGIUM GSM;324672;D
4;DOMINICA GSM;1767275;B
4;SOUTH AFRICA PRS;27120051;C
4;DOMINICAN REP GSM;1809502;A
4;INDIA GSM RELIANCE;919548;A
4;DOMINICAN REP LOCAL OTHER;1829681;A
4;SWITZERLAND GSM SUN;41760;A
4;DOMINICAN REP GSM;1829790;A
4;MEXICO ZONE3;52954;A
4;UK GSM ORANGE;447896;A
4;SOUTH AFRICA PRS;27359401;C
4;DOMINICAN REP LOCAL OTHER;180926224;A
4;INDIA GSM;9184830;A
4;DOMINICAN REP GSM ORANGE;1809996;A
4;INDIA GSM VODAFONE;919833;A
4;ALBANIA AMC;35588222;B
4;TANZANIA GSM;25541;C
4;RUSSIA ZONE 4;7383;A
4;UK GSM TMOBILE;447486;A
4;USA;1517;A
4;INDIA GSM;9197;A
4;UK GSM VODAFONE;447467;A
4;POLAND OLO;48158736;A
4;MAURITANIA GSM MATEL;22238;F
4;POLAND OLO;4876743;A
4;SOUTH AFRICA PRS;27468800;C
4;INDIA GSM;9185189;A
4;RUSSIA ZONE 1;73462;A
4;RUSSIA GSM MEGAFON;79974455;C
4;REUNION GSM ORANGE;2626922;A
4;CHILE RUR;56752198;A
4;DOMINICAN REP LOCAL OTHER;180969581;A
4;SIERRA LEONE GSM;23244;D
4;MEXICO ZONE2;52436;A
4;ALBANIA AMC;35588790;B
4;HUNGARY GSM VODAFONE;3670;A
4;NIGERIA GSM;234818;A
4;AUSTRALIA;61;A
4;BRAZIL GSM;554496;A
4;POLAND OLO;48566831;A
4;INDIA GSM;9185998;A
4;INDIA GSM;9183840;A
4;INDIA GSM;9189648;A
4;SOMALIA GSM;25250;E
4;BRAZIL GSM;55119528;A
4;DOMINICAN REP GSM;1829963;A
4;PORTUGAL GSM NOS;3516093;A
